 1 0 127 13 44 58 1
    -2    0.162    0.272      2.896  0.200     0.18    -0.20     0.25     0.25
     2   -0.009    0.203      1.694  0.200     0.18    -0.20     0.25     0.25
     2   -0.014   -0.006     22.917  0.200     0.18    -0.20     0.25     0.25
     2    0.302   -0.295      6.924  0.200     0.18    -0.20     0.25     0.25
     1   -0.030    0.463      4.468  0.300     0.18    -0.17     0.25     0.25
    -1    0.001    0.104      0.553  0.300     0.18    -0.17     0.25     0.25
    -1   -0.106   -0.001      1.578  0.300     0.18    -0.19     0.25     0.25
    -2    0.458    0.261      5.722  0.200     0.18    -0.19     0.25     0.25
    -2   -0.215    0.072      0.721  0.200     0.18    -0.19     0.25     0.25
     1   -0.244   -0.383      0.997  0.300     0.12    -0.30     0.22     0.25
    -1   -0.082   -0.203      0.311  0.300     0.12    -0.30     0.22     0.25
     2    0.178    0.214      0.383  0.200     0.23    -0.23     0.17     0.25
     2    0.215   -0.336      0.665  0.200     0.23    -0.23     0.17     0.25
     1   -0.093   -0.050     -0.087  0.300     0.23    -0.23     0.17     0.25
     1    0.306    0.081      1.517  0.300     0.17    -0.22     0.24     0.25
    -1   -0.371   -0.368      2.074  0.300     0.17    -0.22     0.24     0.25
     1    0.240    0.047      0.348  0.300     0.18    -0.09     0.08     0.25
    -2   -0.234    0.298     -0.090  0.200     0.18    -0.09     0.08     0.25
     2    0.054   -0.209     -0.047  0.200     0.13    -0.08     0.02     0.25
    -2   -0.236    0.643      0.120  0.200     0.13    -0.08     0.02     0.25
     2    0.088   -0.316     -0.987  0.200     0.19    -0.27    -0.24     0.25
    -1   -0.032   -0.127     -0.613  0.300     0.19    -0.27    -0.24     0.25
     2    0.308    1.058      1.161  0.200     0.07     0.37     0.21     0.25
    -2    0.426    0.498      1.705  0.200     0.07     0.37     0.21     0.25
     2    0.353    0.202      0.378  0.200     0.04     0.33     0.22     0.25
     2    0.088    0.339      2.329  0.200     0.04     0.33     0.22     0.25
     2   -0.056    0.547      0.676  0.200     0.04     0.33     0.22     0.25
     2    0.149   -0.238      0.487  0.200     0.06     0.31     0.14     0.25
    -2    0.024    0.450      0.098  0.200     0.06     0.31     0.14     0.25
     3    0.617   -0.020      4.972  0.500     0.03     0.25     0.25     0.25
    -2   -0.261   -0.253      2.672  0.200     0.03     0.25     0.25     0.25
     1   -0.045    0.066      0.581  0.300     0.00     0.22     0.24     0.25
    -3   -0.117   -0.687      3.295  0.500     0.00     0.22     0.24     0.25
     2   -0.049   -0.423      0.720  0.200     0.01     0.22     0.24     0.25
    -1   -0.021   -0.119      2.761  0.300     0.01     0.22     0.24     0.25
     2    0.167   -0.091      1.292  0.200    -0.01     0.25     0.25     0.25
    -2   -0.867   -0.125      4.843  0.200    -0.01     0.25     0.25     0.25
     1   -0.077   -0.220      0.479  0.300    -0.04     0.18     0.23     0.25
    -2   -0.406   -0.550      1.700  0.200    -0.04     0.18     0.23     0.25
     2   -0.578    0.014      2.226  0.200    -0.05     0.26     0.24     0.25
    -1    0.001   -0.004      0.015  0.300    -0.05     0.26     0.24     0.25
     1   -0.119    0.282      2.562  0.300     0.01     0.27     0.24     0.25
    -1    0.086   -0.191      0.341  0.300     0.01     0.27     0.24     0.25
     2    0.004    0.191      0.325  0.200    -0.02     0.24     0.24     0.25
    -2   -0.502   -0.533      3.245  0.200    -0.02     0.24     0.24     0.25
     3    0.433    0.077      0.271  0.500     0.14     0.28     0.18     0.25
    -2    0.131   -0.003      0.530  0.200     0.14     0.28     0.18     0.25
     1    0.065   -0.860      1.110  0.300     0.02     0.17     0.19     0.25
    -3   -0.039    0.185      0.247  0.500     0.02     0.17     0.19     0.25
     1   -0.135    0.048      0.005  0.300    -0.16     0.28    -0.04     0.25
    -1   -0.001   -0.036     -0.034  0.300    -0.16     0.28    -0.04     0.25
     2   -0.320   -0.311     -1.229  0.200    -0.02     0.23    -0.20     0.25
    -1    0.118    0.115      0.037  0.300    -0.02     0.23    -0.20     0.25
    -2    0.152   -0.328     -1.529  0.200     0.02     0.27    -0.24     0.25
    -2    0.045    0.672     -1.567  0.200     0.02     0.27    -0.24     0.25
    -2   -0.030   -0.155     -1.266  0.200     0.02     0.27    -0.24     0.25
     2   -0.121   -0.370     -0.188  0.200    -0.15     0.23    -0.10     0.25
    -1   -0.633    0.215     -0.249  0.300    -0.15     0.23    -0.10     0.25
     3    0.421   -0.487     -0.034  0.500     0.10     0.18     0.02     0.25
     2    0.132   -0.162     -0.113  0.200     0.10     0.18     0.02     0.25
     1   -0.130    0.212      0.266  0.300     0.10     0.18     0.02     0.25
     2    0.302    0.085     -0.159  0.200     0.13     0.22     0.13     0.25
    -3    0.266   -0.304      0.791  0.500     0.13     0.22     0.13     0.25
    -2   -0.161   -0.059     -0.540  0.200     0.03     0.13    -0.13     0.25
    -2    0.018   -0.140      0.219  0.200     0.03     0.13    -0.13     0.25
    -1    0.237   -0.734     -0.648  0.300     0.03     0.13    -0.13     0.25
     1    0.673    0.616      0.007  0.300     0.13     0.44    -0.03     0.25
    -1   -0.122    0.240     -0.136  0.300     0.13     0.44    -0.03     0.25
     1   -0.320   -0.241     -1.295  0.300    -0.04     0.25    -0.22     0.25
     2   -0.433   -0.211     -0.541  0.200    -0.04     0.25    -0.22     0.25
     1    0.131    0.308     -0.629  0.300    -0.04     0.25    -0.22     0.25
     2    0.200    0.827     -2.718  0.200     0.05     0.33    -0.24     0.25
    -2    0.284    0.085     -0.584  0.200     0.05     0.33    -0.24     0.25
     2    0.118   -0.316     54.253  0.200    -0.19    -0.06     0.25     0.25
     2    0.260   -0.038     16.683  0.200    -0.19    -0.06     0.25     0.25
     1   -0.320   -0.093     19.223  0.300    -0.19    -0.06     0.25     0.25
     1    0.006    0.568     18.717  0.300    -0.19    -0.06     0.25     0.25
    -2   -0.159    0.084     41.101  0.200    -0.19    -0.06     0.25     0.25
     3   -0.218    0.132      1.892  0.500    -0.19    -0.06     0.25     0.25
    -1    0.438   -0.265      7.728  0.300    -0.19    -0.06     0.25     0.25
     2   -0.450    0.200      3.076  0.200    -0.19    -0.05     0.25     0.25
    -3    0.385    0.018      3.235  0.500    -0.19    -0.05     0.25     0.25
     2   -0.032   -0.437      3.628  0.200    -0.18    -0.07     0.25     0.25
    -2    0.394    0.230      2.757  0.200    -0.18    -0.07     0.25     0.25
     1    0.055    0.054      0.757  0.300    -0.26    -0.03     0.23     0.25
    -1   -0.574    0.210      1.043  0.300    -0.26    -0.03     0.23     0.25
