 1 127
 event,miss,iscat,jscat= 1 0 42 41
     1   -0.119    0.282      2.562  0.300     0.01     0.27     0.24     0.25
    -1    0.001   -0.004      0.015  0.300    -0.05     0.26     0.24     0.25
     1   -0.533    0.182      2.090  0.300     0.01     0.27     0.24     0.25
    -1    0.414    0.096      0.488  0.300    -0.05     0.26     0.24     0.25
 event,miss,iscat,jscat= 1 0 114 113
     1   -0.115   -0.195     -3.235  0.300    -0.44    -0.19    -0.24     0.25
    -3   -0.081   -0.199     -1.102  0.500    -0.44    -0.19    -0.24     0.25
     1   -0.168    0.092     -0.732  0.300    -0.44    -0.19    -0.25     0.26
    -3   -0.028   -0.486     -3.605  0.500    -0.44    -0.19    -0.25     0.26
 event,miss,iscat,jscat= 1 0 126 123
    -1   -0.068   -0.041     -0.665  0.300    -0.45    -0.21    -0.25     0.25
     2   -0.485   -0.358     -4.656  0.200    -0.46    -0.18    -0.25     0.25
    -1   -0.114    0.041     -0.767  0.300    -0.45    -0.21    -0.25     0.26
     2   -0.439   -0.440     -4.554  0.200    -0.46    -0.18    -0.26     0.26
 event,miss,iscat,jscat= 1 0 6 2
    -1    0.001    0.104      0.553  0.300     0.18    -0.17     0.25     0.25
     2   -0.009    0.203      1.694  0.200     0.18    -0.20     0.25     0.25
    -1   -0.008    0.180      0.626  0.300     0.18    -0.17     0.26     0.26
     2    0.000    0.127      1.621  0.200     0.18    -0.20     0.26     0.26
 event,miss,iscat,jscat= 1 0 58 51
    -1   -0.633    0.215     -0.249  0.300    -0.15     0.23    -0.10     0.25
    -1   -0.001   -0.036     -0.034  0.300    -0.16     0.28    -0.04     0.25
    -1   -0.460    0.286     -0.004  0.300    -0.16     0.23    -0.10     0.26
    -1   -0.174   -0.108     -0.280  0.300    -0.16     0.28    -0.04     0.26
 event,miss,iscat,jscat= 1 0 45 41
    -2   -0.502   -0.533      3.245  0.200    -0.02     0.24     0.24     0.25
    -1    0.414    0.096      0.488  0.300    -0.05     0.26     0.24     0.25
    -2    0.115   -0.860      2.979  0.200    -0.02     0.24     0.26     0.27
    -1   -0.202    0.422      0.753  0.300    -0.04     0.26     0.25     0.27
 event,miss,iscat,jscat= 1 0 2 1
     2    0.000    0.127      1.621  0.200     0.18    -0.20     0.26     0.26
    -2    0.162    0.272      2.896  0.200     0.18    -0.20     0.25     0.25
     2    0.051    0.090      1.882  0.200     0.18    -0.20     0.27     0.27
    -2    0.111    0.309      2.634  0.200     0.18    -0.20     0.27     0.27
 event,miss,iscat,jscat= 1 0 35 32
    -1   -0.021   -0.119      2.761  0.300     0.01     0.22     0.24     0.25
     1   -0.045    0.066      0.581  0.300     0.00     0.22     0.24     0.25
    -1    0.100    0.011      0.639  0.300     0.01     0.22     0.26     0.27
     1   -0.166   -0.065      2.703  0.300     0.00     0.22     0.26     0.27
 event,miss,iscat,jscat= 1 0 43 32
    -1    0.086   -0.191      0.341  0.300     0.01     0.27     0.24     0.25
     1   -0.166   -0.065      2.703  0.300     0.00     0.22     0.26     0.27
    -1   -0.198   -0.406      2.605  0.300     0.02     0.26     0.26     0.27
     1    0.117    0.150      0.440  0.300     0.00     0.22     0.27     0.27
 event,miss,iscat,jscat= 1 0 19 18
     2    0.054   -0.209     -0.047  0.200     0.13    -0.08     0.02     0.25
    -2   -0.234    0.298     -0.090  0.200     0.18    -0.09     0.08     0.25
     2   -0.271    0.037     -0.303  0.200     0.13    -0.10     0.02     0.27
    -2    0.091    0.052      0.167  0.200     0.17    -0.08     0.07     0.27
 event,miss,iscat,jscat= 1 0 125 117
     2    0.058   -0.087     -0.534  0.200    -0.45    -0.21    -0.25     0.25
    -2   -0.047   -0.307     -2.009  0.200    -0.44    -0.18    -0.25     0.25
     2    0.018   -0.021     -1.110  0.200    -0.44    -0.21    -0.27     0.28
    -2   -0.008   -0.373     -1.433  0.200    -0.44    -0.19    -0.27     0.28
 event,miss,iscat,jscat= 1 0 120 116
     2    0.060    0.150     -1.453  0.200    -0.44    -0.18    -0.25     0.25
    -3    0.323    0.226     -8.368  0.500    -0.44    -0.18    -0.25     0.25
     2    0.163    0.195     -5.367  0.200    -0.44    -0.18    -0.28     0.28
    -3    0.219    0.181     -4.454  0.500    -0.44    -0.18    -0.28     0.28
 event,miss,iscat,jscat= 1 0 45 32
    -2    0.115   -0.860      2.979  0.200    -0.02     0.24     0.26     0.27
     1    0.117    0.150      0.440  0.300     0.00     0.22     0.27     0.27
    -2    0.619   -0.459      1.963  0.200    -0.02     0.23     0.27     0.28
     1   -0.387   -0.250      1.456  0.300     0.00     0.23     0.27     0.28
 event,miss,iscat,jscat= 1 0 7 1
    -1   -0.106   -0.001      1.578  0.300     0.18    -0.19     0.25     0.25
    -2    0.111    0.309      2.634  0.200     0.18    -0.20     0.27     0.27
    -1    0.095    0.360      2.564  0.300     0.18    -0.19     0.28     0.28
    -2   -0.090   -0.053      1.649  0.200     0.18    -0.20     0.28     0.28
 event,miss,iscat,jscat= 1 0 45 42
    -2    0.619   -0.459      1.963  0.200    -0.02     0.23     0.27     0.28
     1   -0.533    0.182      2.090  0.300     0.01     0.27     0.24     0.25
    -2    0.334    0.458      2.006  0.200    -0.02     0.23     0.28     0.29
     1   -0.248   -0.735      2.046  0.300     0.00     0.27     0.28     0.29
 event,miss,iscat,jscat= 1 0 62 61
     2    0.302    0.085     -0.159  0.200     0.13     0.22     0.13     0.25
     1   -0.130    0.212      0.266  0.300     0.10     0.18     0.02     0.25
     2    0.054    0.264      0.340  0.200     0.15     0.23     0.11     0.29
     1    0.118    0.033     -0.233  0.300     0.09     0.19     0.04     0.29
 event,miss,iscat,jscat= 1 0 2 1
     2    0.051    0.090      1.882  0.200     0.18    -0.20     0.27     0.27
    -2   -0.090   -0.053      1.649  0.200     0.18    -0.20     0.28     0.28
     2    0.035   -0.068      1.703  0.200     0.18    -0.20     0.29     0.29
    -2   -0.073    0.105      1.828  0.200     0.18    -0.20     0.29     0.29
 event,miss,iscat,jscat= 1 0 36 35
     2    0.167   -0.091      1.292  0.200    -0.01     0.25     0.25     0.25
    -1    0.100    0.011      0.639  0.300     0.01     0.22     0.26     0.27
     2    0.024    0.086      0.647  0.200    -0.01     0.25     0.29     0.29
    -1    0.244   -0.166      1.284  0.300     0.01     0.22     0.28     0.29
 event,miss,iscat,jscat= 1 0 44 43
     2    0.004    0.191      0.325  0.200    -0.02     0.24     0.24     0.25
    -1   -0.198   -0.406      2.605  0.300     0.02     0.26     0.26     0.27
     2    0.279   -0.090      1.604  0.200    -0.02     0.26     0.27     0.29
    -1   -0.473   -0.125      1.326  0.300     0.01     0.26     0.28     0.29
 event,miss,iscat,jscat= 1 0 82 79
    -3    0.385    0.018      3.235  0.500    -0.19    -0.05     0.25     0.25
     3   -0.218    0.132      1.892  0.500    -0.19    -0.06     0.25     0.25
    -3    0.148    0.392      2.439  0.500    -0.19    -0.05     0.29     0.30
